GWAS Gene,PUBMEDID,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,STRONGEST SNP-RISK ALLELE,SNPS,SNP_ID_CURRENT,P-VALUE
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44905307,rs449647-?,rs449647,449647,2.00E-58
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44858389,rs365653-?,rs365653,365653,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44908822,rs7412-?,rs7412,7412,2.00E-76
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44799247,rs148933445-?,rs148933445,148933445,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44920687,rs144311893-?,rs144311893,144311893,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44917843,rs3925681-?,rs3925681,3925681,7.00E-162
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44926286,rs71352239-?,rs71352239,71352239,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44937272,rs73045691-?,rs73045691,73045691,2.00E-19
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44946776,rs9304644-?,rs9304644,9304644,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45013623,rs34874378-?,rs34874378,34874378,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,44982891,rs57270598-?,rs57270598,57270598,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45020861,rs114248186-?,rs114248186,114248186,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45049329,rs147188206-?,rs147188206,147188206,2.00E-09
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45077114,rs60239918-?,rs60239918,60239918,3.00E-13
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45137507,rs536518226-?,rs536518226,536518226,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,19q13.32,19,45209421,rs73566293-?,rs73566293,73566293,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,1q32.2,1,207612944,rs6701713-?,rs6701713,6701713,9.00E-24
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,1q32.2,1,207619564,rs12036785-?,rs12036785,12036785,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,1q32.2,1,207677194,rs11118328-?,rs11118328,11118328,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127072643,rs17014873-?,rs17014873,17014873,4.00E-09
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127068957,rs1060743-?,rs1060743,1060743,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127135234,rs6733839-?,rs6733839,6733839,2.00E-64
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127082205,rs10194375-?,rs10194375,10194375,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127104478,rs72838215-?,rs72838215,72838215,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127104557,rs6431219-?,rs6431219,6431219,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127120856,rs4663099-?,rs4663099,4663099,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127124606,rs35103166-?,rs35103166,35103166,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127126547,rs7575209-?,rs7575209,7575209,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127127671,rs58682665-?,rs58682665,58682665,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127128657,rs13025765-?,rs13025765,13025765,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127129099,rs13031703-?,rs13031703,13031703,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127136321,rs745717-?,rs745717,745717,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q14.3,2,127136908,rs730482-?,rs730482,730482,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q37.1,2,233159830,rs35349669-?,rs35349669,35349669,2.00E-10
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,2q37.1,2,233117202,rs10933431-?,rs10933431,10933431,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,6p12.3,6,47464901,rs9381563-?,rs9381563,9381563,1.00E-12
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,6p12.3,6,47424807,rs9395255-?,rs9395255,9395255,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,6p12.3,6,47630389,rs9395288-?,rs9395288,9395288,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,6p12.3,6,47679485,rs10948374-?,rs10948374,10948374,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q22.1,7,100374211,rs1859788-?,rs1859788,1859788,3.00E-18
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q22.1,7,100561944,rs2734897-?,rs2734897,2734897,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q22.1,7,100106335,rs2293479-?,rs2293479,2293479,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q22.1,7,100242838,rs866500-?,rs866500,866500,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q22.1,7,100245730,rs858502-?,rs858502,858502,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q22.1,7,100341332,rs35305377-?,rs35305377,35305377,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143411065,rs7810606-?,rs7810606,7810606,1.00E-11
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143406388,rs56402156-?,rs56402156,56402156,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143407238,rs3935067-?,rs3935067,3935067,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143418968,rs62472729-?,rs62472729,62472729,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143413669,rs11771145-?,rs11771145,11771145,4.00E-11
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143427203,rs7805776-?,rs7805776,7805776,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,7q35,7,143435090,rs9640386-?,rs9640386,9640386,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.2,8,27337604,rs28834970-?,rs28834970,28834970,6.00E-16
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.2,8,27354759,rs10109834-?,rs10109834,10109834,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.2,8,27472579,rs2741342-?,rs2741342,2741342,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.2,8,27462330,rs79145239-?,rs79145239,79145239,1.00E-10
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.1,8,27541103,rs2269461-?,rs2269461,2269461,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.1,8,27607412,rs4236673-?,rs4236673,4236673,4.00E-25
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.1,8,27584004,rs4732728-?,rs4732728,4732728,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.1,8,27606101,rs9331908-?,rs9331908,9331908,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.1,8,27629399,rs576748-?,rs576748,576748,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,8p21.1,8,27632442,rs485902-?,rs485902,485902,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,10p14,10,11678309,rs7920721-?,rs7920721,7920721,1.00E-10
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11p11.2,11,47427521,rs12292911-?,rs12292911,12292911,4.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11p11.2,11,47358789,rs3740688-?,rs3740688,3740688,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q12.2,11,60161199,rs11605427-?,rs11605427,11605427,8.00E-17
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q12.1,11,60076769,rs501945-?,rs501945,501945,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q12.2,11,60101646,rs580064-?,rs580064,580064,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q12.2,11,60313801,rs7108879-?,rs7108879,7108879,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86152038,rs56157503-?,rs56157503,56157503,8.00E-09
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86128893,rs7114401-?,rs7114401,7114401,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86156833,rs10792832-?,rs10792832,10792832,6.00E-33
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86004693,rs527162-?,rs527162,527162,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86101743,rs17745409-?,rs17745409,17745409,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86160142,rs7129687-?,rs7129687,7129687,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q14.2,11,86160172,rs61904266-?,rs61904266,61904266,5.00E-08
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,11q24.1,11,121564878,rs11218343-?,rs11218343,11218343,1.00E-09
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,14q22.1,14,52924962,rs17125924-?,rs17125924,17125924,6.00E-09
NR,29777097,GWAS on family history of Alzheimer's disease.,Alzheimer's disease or family history of Alzheimer's disease,"up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 British ancestry individuals with no parental history of Alzheimer's disease, 25,580 Alzheimer's disease cases, 48,466 controls",NA,14q32.12,14,92470346,rs8008388-?,rs8008388,8008388,6.00E-11
